"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Password change","2","0","","0"
"0","","0","Articles Commenting","3","0","","0"
"0","","0","Article Creation","3","0","","0"
